Sample Ref,Location,TP No.,Depth,100,63,50,20,10,2,0.063,0.001
101-3,Central Area,1,0.5,100,100,97,75.6,71.3,59.8,34.6,5.6
102-3,Central Area,1,1,100,100,95.1,86.1,77.8,64.6,36.8,6.5
103-3,Central Area,1,2,100,100,100,92.5,84.1,67.6,37.5,11.1
104-3,Central Area,2,0.5,100,100,93.1,80.7,69.4,59.9,42.8,9
105-3,Central Area,2,1,100,100,100,91.6,81.3,64.3,34.7,6.7
106-3,Central Area,2,2,100,100,93.4,82.9,75.7,59.5,32.8,8.6
107-3,Central Area,3,0.5,100,100,94.6,83.8,75.7,60.3,33.8,8.6
108-3,Central Area,3,1,100,100,100,88.1,78.6,68.6,46.3,12.3
109-3,Central Area,3,2,100,100,96.1,85.5,79.8,62.6,34.8,10.2
110-3,Central Area,4,0.5,100,100,92.6,67.1,64.4,54.7,38,8.4
111-3,Central Area,4,1,100,100,97.9,86.7,81.9,70.3,41.7,9.4
112-3,Central Area,4,2,100,100,100,86.5,77.9,61,35.4,8.2
113-3,Central Area,5,0.5,100,100,95.5,83.4,77.3,63.5,33.4,10.8
114-3,Central Area,5,1,100,100,93.2,76.1,71.2,58,33.8,9.9
115-3,Central Area,5,2,100,95.2,89,76.3,67.9,54.4,32.2,9.7
116-3,Central Area,6,0.5,100,100,97,87.4,81.8,65.1,44.9,11.3
117-3,Central Area,6,1,100,89.7,86.7,71,64.3,52.3,30.2,10.3
118-3,Central Area,6,2,100,96.5,95.3,84.7,78.4,66,37.8,12
119-3,Central Area,7,0.5,100,100,97.4,89.7,83.4,65,33.2,9.6
120-3,Central Area,7,1,100,100,97,75.6,71.3,58.9,33.7,10.6
121-3,Central Area,7,2,100,94.7,89.4,76.3,69.7,56.1,33.5,9.9
122-3,Central Area,8,0.5,100,100,98.5,85.8,76.6,62.7,36,9.1
123-3,Central Area,8,1,100,100,95.6,86.1,75.9,60.1,34.4,10.9
124-3,Central Area,8,2,100,100,93.5,83.1,76.3,62.8,31.5,7.8
125-3,Central Area,9,0.5,100,100,97.1,85.4,76.2,61.6,34.6,10.6
126-3,Central Area,9,1,100,100,97.4,90,84.9,73.9,50.3,12.8
127-3,Central Area,9,2,100,100,98.1,87,81.1,68,39.5,6.4
128-3,Central Area,10,0.5,100,100,97.7,84.1,75.1,57.6,32.3,9.5
129-3,Central Area,10,1,100,100,94.9,74.8,66.8,56.5,40,13
130-3,Central Area,10,2,100,100,95.2,87.1,81.1,65.2,32.9,7
131-3,Central Area,11,0.5,100,100,94.2,83.2,77.2,62.5,36.3,9.5
132-3,Central Area,11,1,100,96.5,95.3,84.7,78.9,67.4,41.3,6.7
133-3,Central Area,11,2,100,100,93.2,81.3,77.7,62.6,38,8.8
